sku,week,units
84946,2011-04-25,161
84946,2011-05-02,380
84946,2011-05-09,242
84946,2011-05-16,411
84946,2011-05-23,595
84946,2011-05-30,269
84946,2011-06-06,576
84946,2011-06-13,294
84946,2011-06-20,156
84946,2011-06-27,372
84946,2011-07-04,463
84946,2011-07-11,96
84946,2011-07-18,507
84946,2011-07-25,159
84946,2011-08-01,589
84946,2011-08-08,163
84946,2011-08-15,540
84946,2011-08-22,264
84946,2011-08-29,184
84946,2011-09-05,271
84946,2011-09-12,115
84946,2011-09-19,501
84946,2011-09-26,378
84946,2011-10-03,342
84946,2011-10-10,499
84946,2011-10-17,424
84946,2011-10-24,228
84946,2011-10-31,865
84946,2011-11-07,1079
84946,2011-11-14,815
84946,2011-11-21,577
84946,2011-11-28,489
84946,2011-12-05,470
84991,2010-11-29,285
84991,2010-12-06,266
84991,2010-12-13,429
84991,2010-12-20,607
84991,2010-12-27,0
84991,2011-01-03,170
84991,2011-01-10,294
84991,2011-01-17,274
84991,2011-01-24,172
84991,2011-01-31,385
84991,2011-02-07,83
84991,2011-02-14,259
84991,2011-02-21,194
84991,2011-02-28,134
84991,2011-03-07,598
84991,2011-03-14,538
84991,2011-03-21,239
84991,2011-03-28,736
84991,2011-04-04,271
84991,2011-04-11,477
84991,2011-04-18,1182
84991,2011-04-25,246
84991,2011-05-02,265
84991,2011-05-09,532
84991,2011-05-16,232
84991,2011-05-23,301
84991,2011-05-30,136
84991,2011-06-06,90
84991,2011-06-13,304
84991,2011-06-20,94
84991,2011-06-27,185
84991,2011-07-04,645
84991,2011-07-11,133
84991,2011-07-18,124
84991,2011-07-25,402
84991,2011-08-01,248
84991,2011-08-08,340
84991,2011-08-15,648
84991,2011-08-22,155
84991,2011-08-29,141
84991,2011-09-05,910
84991,2011-09-12,733
84991,2011-09-19,426
84991,2011-09-26,220
84991,2011-10-03,157
84991,2011-10-10,193
84991,2011-10-17,729
84991,2011-10-24,440
84991,2011-10-31,263
84991,2011-11-07,197
84991,2011-11-14,547
84991,2011-11-21,360
84991,2011-11-28,136
84991,2011-12-05,89
85099B,2010-11-29,692
85099B,2010-12-06,852
85099B,2010-12-13,427
85099B,2010-12-20,181
85099B,2010-12-27,0
85099B,2011-01-03,1374
85099B,2011-01-10,225
85099B,2011-01-17,594
85099B,2011-01-24,502
85099B,2011-01-31,965
85099B,2011-02-07,288
85099B,2011-02-14,985
85099B,2011-02-21,810
85099B,2011-02-28,624
85099B,2011-03-07,738
85099B,2011-03-14,1548
85099B,2011-03-21,1379
85099B,2011-03-28,1103
85099B,2011-04-04,975
85099B,2011-04-11,616
85099B,2011-04-18,549
85099B,2011-04-25,385
85099B,2011-05-02,380
85099B,2011-05-09,1206
85099B,2011-05-16,978
85099B,2011-05-23,933
85099B,2011-05-30,273
85099B,2011-06-06,883
85099B,2011-06-13,959
85099B,2011-06-20,841
85099B,2011-06-27,816
85099B,2011-07-04,1364
85099B,2011-07-11,431
85099B,2011-07-18,733
85099B,2011-07-25,540
85099B,2011-08-01,1050
85099B,2011-08-08,1373
85099B,2011-08-15,1356
85099B,2011-08-22,1518
85099B,2011-08-29,717
85099B,2011-09-05,556
85099B,2011-09-12,743
85099B,2011-09-19,1667
85099B,2011-09-26,929
85099B,2011-10-03,2709
85099B,2011-10-10,947
85099B,2011-10-17,1045
85099B,2011-10-24,600
85099B,2011-10-31,1063
85099B,2011-11-07,2200
85099B,2011-11-14,1602
85099B,2011-11-21,753
85099B,2011-11-28,1050
85099B,2011-12-05,451
85123A,2010-11-29,986
85123A,2010-12-06,1045
85123A,2010-12-13,1524
85123A,2010-12-20,198
85123A,2010-12-27,0
85123A,2011-01-03,973
85123A,2011-01-10,3329
85123A,2011-01-17,661
85123A,2011-01-24,541
85123A,2011-01-31,586
85123A,2011-02-07,517
85123A,2011-02-14,365
85123A,2011-02-21,401
85123A,2011-02-28,380
85123A,2011-03-07,454
85123A,2011-03-14,465
85123A,2011-03-21,365
85123A,2011-03-28,582
85123A,2011-04-04,374
85123A,2011-04-11,474
85123A,2011-04-18,2422
85123A,2011-04-25,375
85123A,2011-05-02,1144
85123A,2011-05-09,873
85123A,2011-05-16,783
85123A,2011-05-23,1026
85123A,2011-05-30,628
85123A,2011-06-06,4389
85123A,2011-06-13,389
85123A,2011-06-20,236
85123A,2011-06-27,259
85123A,2011-07-04,258
85123A,2011-07-11,1195
85123A,2011-07-18,719
85123A,2011-07-25,780
85123A,2011-08-01,441
85123A,2011-08-08,466
85123A,2011-08-15,296
85123A,2011-08-22,773
85123A,2011-08-29,394
85123A,2011-09-05,440
85123A,2011-09-12,658
85123A,2011-09-19,705
85123A,2011-09-26,402
85123A,2011-10-03,165
85123A,2011-10-10,679
85123A,2011-10-17,231
85123A,2011-10-24,444
85123A,2011-10-31,1704
85123A,2011-11-07,575
85123A,2011-11-14,1322
85123A,2011-11-21,898
85123A,2011-11-28,726
85123A,2011-12-05,649
